"","Year","Police Region","Local Government Area","Incidents Recorded"
"566",2014,"3 Southern Metro","Casey",12926
"567",2014,"3 Southern Metro","Frankston",10627
"568",2014,"3 Southern Metro","Glen Eira",4331
"569",2014,"3 Southern Metro","Greater Dandenong",12060
"570",2014,"3 Southern Metro","Kingston",7172
"571",2014,"3 Southern Metro","Mornington Peninsula",7681
"572",2014,"3 Southern Metro","Port Phillip",9080
"573",2014,"3 Southern Metro","Stonnington",7158
"574",2014,"3 Southern Metro","Total",78128
"575",2014,"4 Western","Ararat",797
"576",2014,"4 Western","Ballarat",7533
"577",2014,"4 Western","Buloke",180
"578",2014,"4 Western","Campaspe",2330
"579",2014,"4 Western","Central Goldfields",805
"580",2014,"4 Western","Colac-Otway",1100
"581",2014,"4 Western","Corangamite",474
"582",2014,"4 Western","Gannawarra",427
"583",2014,"4 Western","Glenelg",1400
"584",2014,"4 Western","Golden Plains",467
"585",2014,"4 Western","Greater Bendigo",6183
"586",2014,"4 Western","Greater Geelong",15071
"587",2014,"4 Western","Hepburn",494
"588",2014,"4 Western","Hindmarsh",147
"589",2014,"4 Western","Horsham",1577
"590",2014,"4 Western","Loddon",237
"591",2014,"4 Western","Macedon Ranges",1475
"592",2014,"4 Western","Mildura",4659
"593",2014,"4 Western","Moorabool",1455
"594",2014,"4 Western","Mount Alexander",671
"595",2014,"4 Western","Moyne",470
"596",2014,"4 Western","Northern Grampians",697
"597",2014,"4 Western","Pyrenees",346
"598",2014,"4 Western","Queenscliffe",102
"599",2014,"4 Western","Southern Grampians",706
"600",2014,"4 Western","Surf Coast",982
"601",2014,"4 Western","Swan Hill",1629
"602",2014,"4 Western","Warrnambool",1986
"603",2014,"4 Western","West Wimmera",99
